PQID,UID,Year,Month,Day,CMT_AMT,CAT,UNM
92236,126754,2009,2,19,7,M,Jonas Bonér
92237,126754,2009,3,26,42,M,Jonas Bonér
92238,126754,2009,4,28,20,M,Jonas Bonér
92239,126754,2009,5,25,27,M,Jonas Bonér
92240,126754,2009,6,30,16,M,Jonas Bonér
92163,75250,2009,7,29,10,M,Viktor Klang (√)
92241,126754,2009,7,29,14,M,Jonas Bonér
92164,75250,2009,8,15,6,M,Viktor Klang (√)
92526,505913,2009,8,27,8,M,jboner
92242,126754,2009,8,31,21,M,Jonas Bonér
92243,126754,2009,9,12,1,M,Jonas Bonér
92165,75250,2009,9,26,5,M,Viktor Klang (√)
92527,505913,2009,9,30,24,M,jboner
92166,75250,2009,10,23,7,M,Viktor Klang (√)
92528,505913,2009,10,28,17,M,jboner
92167,75250,2009,11,18,5,M,Viktor Klang (√)
92529,505913,2009,11,26,21,M,jboner
92530,505913,2009,12,2,3,M,jboner
92168,75250,2009,12,29,31,M,Viktor Klang (√)
92441,207881,2009,12,31,68,M,Jonas Bonér
92442,207881,2010,1,2,17,M,Jonas Bonér
92169,75250,2010,1,30,30,M,Viktor Klang (√)
92244,126754,2010,2,17,1,M,Jonas Bonér
92475,207993,2010,2,19,2,M,Debasish Ghosh
92170,75250,2010,2,22,17,M,Viktor Klang (√)
92443,207881,2010,2,23,24,M,Jonas Bonér
92245,126754,2010,3,17,3,M,Jonas Bonér
92400,205529,2010,3,21,21,M,Martin Krasser
92171,75250,2010,3,30,28,M,Viktor Klang (√)
92219,103265,2010,3,30,2,M,Michael Kober
92476,207993,2010,3,30,8,M,Debasish Ghosh
92444,207881,2010,3,31,67,M,Jonas Bonér
92276,199873,2010,4,19,8,M,Peter Vlugter
92220,103265,2010,4,22,7,M,Michael Kober
92172,75250,2010,4,29,27,M,Viktor Klang (√)
92445,207881,2010,4,30,56,M,Jonas Bonér
92477,207993,2010,4,30,4,M,Debasish Ghosh
92246,126754,2010,5,24,1,M,Jonas Bonér
92221,103265,2010,5,26,5,M,Michael Kober
92277,199873,2010,5,28,11,M,Peter Vlugter
92425,206268,2010,5,28,5,M,Heiko Seeberger
92401,205529,2010,5,29,7,M,Martin Krasser
92478,207993,2010,5,30,12,M,Debasish Ghosh
92173,75250,2010,5,31,29,M,Viktor Klang (√)
92446,207881,2010,5,31,116,M,Jonas Bonér
92479,207993,2010,6,10,1,M,Debasish Ghosh
92247,126754,2010,6,19,1,M,Jonas Bonér
92426,206268,2010,6,21,8,M,Heiko Seeberger
92278,199873,2010,6,22,30,M,Peter Vlugter
92402,205529,2010,6,24,29,M,Martin Krasser
92174,75250,2010,6,27,12,M,Viktor Klang (√)
92447,207881,2010,6,29,54,M,Jonas Bonér
92433,207463,2010,6,30,1,M,Irmo Manie
92279,199873,2010,7,15,3,M,Peter Vlugter
92427,206268,2010,7,19,18,M,Heiko Seeberger
92434,207463,2010,7,27,36,M,Irmo Manie
92175,75250,2010,7,29,12,M,Viktor Klang (√)
92480,207993,2010,7,29,8,M,Debasish Ghosh
92248,126754,2010,7,30,9,M,Jonas Bonér
92403,205529,2010,7,30,37,M,Martin Krasser
92448,207881,2010,7,31,54,M,Jonas Bonér
92249,126754,2010,8,16,7,M,Jonas Bonér
92481,207993,2010,8,16,1,M,Debasish Ghosh
92435,207463,2010,8,19,29,M,Irmo Manie
