source,target,count,type
16,26,21,O
16,52,1,O
16,81,7,O
16,112,3,O
26,5,2,O
26,7,1,O
26,10,1,O
26,11,1,O
26,13,3,O
26,16,19,O
26,17,1,O
26,20,1,O
26,22,3,O
26,23,6,O
26,27,6,O
26,30,1,O
26,35,9,O
26,37,1,O
26,38,30,O
26,39,49,O
26,45,1,O
26,47,1,O
26,49,22,O
26,50,1,O
26,51,1,O
26,52,1,O
26,54,2,O
26,57,35,O
26,59,19,O
26,60,3,O
26,61,8,O
26,62,1,O
26,63,2,O
26,64,8,O
26,65,14,O
26,66,58,O
26,68,119,O
26,70,27,O
26,71,9,O
26,72,67,O
26,73,1,O
26,74,3,O
26,75,2,O
26,77,13,O
26,78,34,O
26,79,3,O
26,80,2,O
26,81,360,O
26,82,6,O
26,83,3,O
26,86,1,O
26,87,6,O
26,88,3,O
26,90,1,O
26,94,1,O
26,95,15,O
26,98,2,O
26,112,242,O
26,113,52,O
26,115,13,O
26,117,8,O
26,119,1,O
26,122,56,O
26,125,3,O
26,126,2,O
26,127,12,O
26,129,7,O
26,130,93,O
26,131,8,O
26,132,31,O
26,133,13,O
26,134,2,O
26,135,4,O
26,137,5,O
26,138,2,O
26,139,10,O
26,141,7,O
26,142,1,O
26,149,28,O
26,160,1,M
27,26,3,O
27,52,1,O
27,112,11,O
27,113,2,O
27,122,4,O
32,11,14,O
32,149,60,O
34,7,2,O
34,8,2,O
34,26,15,O
34,39,2,O
34,52,22,O
34,81,26,O
34,95,3,O
34,96,2,O
34,102,1,O
34,105,1,O
34,112,25,O
34,113,11,O
34,114,15,O
34,117,16,O
34,120,7,O
34,122,9,O
34,125,3,O
34,126,1,O
39,2,1,O
39,9,2,O
39,18,1,O
39,22,4,O
39,26,27,O
39,34,1,O
39,42,1,M
39,44,1,M
39,49,10,O
39,55,1,M
39,59,11,O
39,81,16,O
39,82,7,O
39,101,1,O
39,106,1,O
39,112,53,O
39,113,17,O
39,114,9,O
39,117,6,O
39,121,1,O
39,131,1,O
39,132,4,O
39,143,1,O
39,166,3,M
49,5,13,O
49,26,8,O
49,59,1,O
49,73,1,O
49,75,7,O
49,81,15,O
49,99,1,O
49,112,11,O
49,117,1,O
49,131,7,O
49,132,4,O
49,139,29,O
68,16,6,O
68,26,145,O
68,31,1,O
68,39,56,O
68,49,11,O
68,59,4,O
68,70,8,O
68,71,3,O
68,73,1,O
68,75,2,O
68,81,62,O
68,112,58,O
68,132,2,O
70,23,6,O
70,66,9,O
70,68,23,O
70,87,7,O
70,112,2,O
81,1,1,O
81,6,1,O
81,7,3,O
81,10,1,O
81,12,1,O
81,15,6,O
81,16,1,O
81,18,1,O
81,26,388,O
81,27,15,O
81,31,2,O
81,33,1,O
81,34,11,O
81,38,3,O
81,39,84,O
81,46,1,O
81,48,1,O
81,49,16,O
81,50,4,O
81,51,1,O
81,52,41,O
81,54,1,O
81,59,2,O
81,63,4,O
81,65,5,O
81,70,12,O
81,71,3,O
81,77,5,O
81,79,9,O
81,83,4,O
81,88,3,O
81,90,9,O
81,93,2,O
81,95,1,M
81,97,24,O
81,98,1,O
81,102,1,O
81,103,1,O
81,104,1,O
81,105,5,O
81,107,2,O
81,112,323,O
81,113,108,O
81,114,30,O
81,115,3,O
81,117,29,O
81,121,1,O
81,122,59,O
81,125,9,O
81,126,1,O
81,129,3,O
81,130,33,O
81,132,4,O
81,135,6,O
81,145,2,O
112,1,1,O
112,7,3,O
112,8,1,O
112,14,1,O
112,15,6,O
112,21,1,O
112,26,215,O
112,27,11,O
112,34,3,O
112,37,1,O
112,39,45,O
112,40,5,O
112,49,12,O
112,50,14,O
112,52,8,O
112,61,3,O
112,63,2,O
112,65,8,O
112,68,111,O
112,69,8,O
112,70,17,O
112,75,4,O
112,77,3,O
112,78,1,O
112,79,3,O
112,81,137,O
112,84,2,O
112,89,2,O
112,90,1,O
112,91,5,O
112,92,1,O
112,93,1,O
112,101,1,O
112,102,1,O
112,108,1,O
112,113,93,O
112,114,29,O
112,115,18,O
112,116,1,O
112,117,9,O
112,122,82,O
112,124,1,O
112,125,6,O
112,126,3,O
112,128,2,O
112,129,1,O
112,136,2,O
112,138,2,O
113,4,14,O
113,26,50,O
113,27,9,O
113,29,1,O
113,34,9,O
113,41,1,O
113,49,2,O
113,50,14,O
113,53,2,O
113,63,2,O
113,65,5,O
113,66,11,O
113,69,11,O
113,70,8,O
113,76,1,O
113,81,121,O
113,83,6,O
113,85,2,O
113,88,1,O
113,90,2,O
113,93,1,O
113,98,1,O
113,100,2,O
113,108,1,O
113,109,4,O
113,110,1,O
113,111,3,O
113,112,153,O
113,114,18,O
113,117,10,O
113,118,1,O
113,122,13,O
113,123,4,O
113,124,1,O
113,128,1,O
113,131,1,O
114,122,1,M
122,113,1,O
131,26,1,O
131,42,1,O
131,58,1,O
131,68,9,O
131,146,1,O
132,26,6,O
132,81,17,O
132,99,1,O
132,112,13,O
133,3,3,O
138,43,9,O
138,147,4,O
138,148,1,O
141,59,2,O
141,67,1,O
149,11,15,O
163,138,3,M
163,165,3,M
