id,count,type,name
0,0,M ,xx 
1,3,O,Ricky Elrod
2,1,O,Bo XIAO
3,6,O,Andrey Popp
4,14,O,Alexandre Agular
5,15,O,Brendan W. McAdams
6,1,O,Adam Vandenberg
7,9,O,Raman Gupta
8,5,O,Taylor Leese
9,2,O,Tymon Tobolski
10,2,O,Ryan LeCompte
11,135,O,Scott Clasen @scottclasen
12,1,O,Bruce Mitchener
13,3,O,Konrad Malawski
14,1,O,Valerian
15,12,O,Nikolay Botev
16,156,O,Derek Williams
17,1,O,Gilles Cornu
18,2,O,Levi Notik
19,2,O,Jan Kronquist
20,1,O,Susan Potter
21,1,O,Szabolcs Berecz
22,9,O,Andrey Stepachev
23,12,O,Vibul Imtarnasan @vibuli
24,2,O,Timothy Perrett
25,7,O,Johan Rask
26,3728,M,Viktor Klang (√)
27,65,M,Rich Dougherty
28,2,O,Garrick Evans
29,1,O,Pablo Fernandez
30,1,O,Gun.io Whitespace Robot
31,5,O,Josh Suereth
32,65,O,Michael Kober
33,1,O,Michael Hamrah
34,92,M,drewhk
35,9,O,Chris Van Vranken
36,3,O,Mikael Högqvist
37,2,O,2beaucoup
38,33,O,Ivan Porto Carrero
39,745,M,Jonas Bonér
40,5,O,Muki
41,1,O,Nicholas Schultz-Møller
42,11,O,Hiram Chirino
43,18,O,Yung-Luen Lan
44,1,O,Odd Möller
45,1,O,Jason Zaugg
46,1,O,Gideon de Kok
47,1,O,Dale
48,1,O,Mirko Friedenhagen
49,404,M,Peter Vlugter
50,33,O,Sam Halliday
51,2,O,Antony Stubbs
52,74,O,Johannes Rudolph
53,2,O,Eric Pederson
54,3,O,Gerolf Seitz
55,4,O,Jon-Anders Teigen
56,24,O,Jan Van Besien
57,37,O,Paul Pacheco
58,1,O,Anders Engström
59,39,O,Havoc Pennington
60,3,O,Francisco de Freitas
61,11,O,Alen Vrečko
62,1,O,Turing Eret
63,10,O,Christian Krause
64,8,O,Kjell Winblad
65,32,O,αmir μoulavi
66,78,O,Philipp Haller
67,1,O,matt hoffman
68,341,O,Piotr Gabryanczyk
69,19,O,Dario Rexin
70,77,O,Raymond Roestenburg
71,15,O,Adam Lesperance
72,67,O,Oliver Schulz
73,3,O,Jean-François Im
74,3,O,Florian Hopf
75,25,O,Eugene Vigdorchik
76,1,O,Konstantinos
77,21,O,Helena Edelson
78,35,O,Brian Scully
79,15,O,Michael Pilquist
80,2,O,David Y. Ross
81,1730,M,Roland Kuhn
82,13,O,Scott R. Parish
83,13,O,Peter Badenhorst
84,2,O,Eric Torreborre
85,2,O,Josh Gao
86,1,O,Yaroslav Klymko
87,13,O,Vojin Jovanovic
88,7,O,Björn Harrtell
89,2,O,Heiko Seeberger
90,13,O,RickLatrine
91,5,O,Evgeny Chukreev
92,1,O,Dave LeBlanc
93,4,O,Matthew Neeley
94,1,O,Thomas Lockney
95,19,O,Derek Mahar
96,2,O,Kevin Wright
97,24,O,Gert Vanthienen
98,4,O,Jamie Allen
99,2,O,Mike Krumlauf
100,2,O,Eric Pederson
101,2,O,Nilanjan Raychaudhuri
102,3,O,oakwhiz
103,1,O,Michael Pollmeier
104,1,O,Francois Armand
105,7,O,Gustav Åkesson
106,1,O,Joa Ebert
107,2,O,houcun
108,2,O,Akara Sucharitakul
109,4,O,David Schmitz
110,1,O,Michael R. Maletich
111,3,O,jducoeur
112,1862,M,Patrik Nordwall
113,565,M,Björn Antonsson
114,134,O,Endre Sándor Varga
115,201,O,Martin Krasser
116,1,O,Luc Perkins
117,87,O,Mathias
118,1,O,Mark "Justin" Waks
119,1,O,Mirco Dotta
120,7,O,asucharitakul
121,2,O,Ian Wormsbecker
122,231,O,Endre Sándor Varga
123,4,O,Mike Krumlauf
124,2,O,dario.rexin
125,21,O,Christophe Pache
126,7,O,Crossing-Tech
127,17,O,Scott Clasen
128,3,O,Mike Slinn
129,11,O,Kaspar Fischer (hbf)
130,126,O,Helena Edelson
131,55,O,Heiko Seeberger
132,76,M,Henrik Engstrom
133,111,O,Irmo Manie
134,5,O,Irmo Manie
135,10,O,jxstanford
136,2,O,Dario Rexin
137,5,O,Joseph Shraibman
138,774,O,Jonas Bonér
139,39,O,Karim Vuorisara
140,1,O,Eugene Vigdorchik
141,192,O,Patrik Nordwall
142,1,O,Isaias Barroso
143,1,O,Jamie Allen
144,90,O,Peter Veentjer
145,2,O,mpilquist
146,1,O,Dhananjay Nene
147,8,O,Kahlen
148,2,O,Kahlen Lin
149,123,O,David Greco
150,84,O,Debasish Ghosh
151,8,O,Vasil Remeniuk
152,20,O,Debasish Ghosh
153,9,O,Garrick Evans
154,10,O,Peter Veentjer
155,8,O,Peter Veentjer
156,4,O,alarmnummer
157,1,O,unknown
158,1,O,Martin Krasser
159,11,O,rossputin
160,1,O,Viktor Klang
161,3,O,Johan Rask
162,3,O,Johan Rask
163,6,O,Michael Kober
164,12,O,ross.mcdonald
165,3,O,Staffan Fransson
166,20,O,Eckart Hertzler
167,73,O,jboner
168,45,O,jboner
169,1,O,jboner
170,3,O,jboner
171,2,O,jboner
172,1,O,jboner
173,1,O,jboner
174,2,O,jboner
175,2,O,jboner
176,5,O,jboner
177,2,O,jboner
178,2,O,jboner
179,1,O,jboner
180,2,O,jboner
181,1,O,jboner
182,1,O,jboner
183,2,O,jboner
184,1,O,jboner
185,1,O,jboner
186,2,O,jboner
187,3,O,jboner
188,9,O,jboner
189,4,O,jboner
190,2,O,jboner
191,5,O,jboner
192,7,O,jboner
193,3,O,jboner
194,1,O,Sergio Bossa
195,2,O,jboner
196,2,O,jboner
197,2,O,jboner
