PQID,CMT,UNM,CAT,Year,Month,Day
92236,7,Jonas Bonér,M,2009,2,19
92237,42,Jonas Bonér,M,2009,3,26
92238,20,Jonas Bonér,M,2009,4,28
92239,27,Jonas Bonér,M,2009,5,25
92240,16,Jonas Bonér,M,2009,6,30
92163,10,Viktor Klang (√),M,2009,7,29
92241,14,Jonas Bonér,M,2009,7,29
92164,6,Viktor Klang (√),M,2009,8,15
92526,8,jboner,M,2009,8,27
92242,21,Jonas Bonér,M,2009,8,31
92243,1,Jonas Bonér,M,2009,9,12
92165,5,Viktor Klang (√),M,2009,9,26
92527,24,jboner,M,2009,9,30
92166,7,Viktor Klang (√),M,2009,10,23
92528,17,jboner,M,2009,10,28
92167,5,Viktor Klang (√),M,2009,11,18
92529,21,jboner,M,2009,11,26
92530,3,jboner,M,2009,12,2
92168,31,Viktor Klang (√),M,2009,12,29
92441,68,Jonas Bonér,M,2009,12,31
92442,17,Jonas Bonér,M,2010,1,2
92169,30,Viktor Klang (√),M,2010,1,30
92244,1,Jonas Bonér,M,2010,2,17
92475,2,Debasish Ghosh,M,2010,2,19
92170,17,Viktor Klang (√),M,2010,2,22
92443,24,Jonas Bonér,M,2010,2,23
92245,3,Jonas Bonér,M,2010,3,17
92400,21,Martin Krasser,M,2010,3,21
92171,28,Viktor Klang (√),M,2010,3,30
92219,2,Michael Kober,M,2010,3,30
92476,8,Debasish Ghosh,M,2010,3,30
92444,67,Jonas Bonér,M,2010,3,31
92276,8,Peter Vlugter,M,2010,4,19
92220,7,Michael Kober,M,2010,4,22
92172,27,Viktor Klang (√),M,2010,4,29
92445,56,Jonas Bonér,M,2010,4,30
92477,4,Debasish Ghosh,M,2010,4,30
92246,1,Jonas Bonér,M,2010,5,24
92221,5,Michael Kober,M,2010,5,26
92277,11,Peter Vlugter,M,2010,5,28
92425,5,Heiko Seeberger,M,2010,5,28
92401,7,Martin Krasser,M,2010,5,29
92478,12,Debasish Ghosh,M,2010,5,30
92173,29,Viktor Klang (√),M,2010,5,31
92446,116,Jonas Bonér,M,2010,5,31
92479,1,Debasish Ghosh,M,2010,6,10
92247,1,Jonas Bonér,M,2010,6,19
92426,8,Heiko Seeberger,M,2010,6,21
92278,30,Peter Vlugter,M,2010,6,22
92402,29,Martin Krasser,M,2010,6,24
92174,12,Viktor Klang (√),M,2010,6,27
92447,54,Jonas Bonér,M,2010,6,29
92433,1,Irmo Manie,M,2010,6,30
92279,3,Peter Vlugter,M,2010,7,15
92427,18,Heiko Seeberger,M,2010,7,19
92434,36,Irmo Manie,M,2010,7,27
92175,12,Viktor Klang (√),M,2010,7,29
92480,8,Debasish Ghosh,M,2010,7,29
92248,9,Jonas Bonér,M,2010,7,30
92403,37,Martin Krasser,M,2010,7,30
92448,54,Jonas Bonér,M,2010,7,31
92249,7,Jonas Bonér,M,2010,8,16
92481,1,Debasish Ghosh,M,2010,8,16
92435,29,Irmo Manie,M,2010,8,19
92280,9,Peter Vlugter,M,2010,8,23
92404,11,Martin Krasser,M,2010,8,27
92449,42,Jonas Bonér,M,2010,8,30
92176,106,Viktor Klang (√),M,2010,8,31
92222,13,Michael Kober,M,2010,8,31
70830,28,David Greco,O,2010,9,14
70827,30,David Greco,O,2010,9,20
70833,30,David Greco,O,2010,9,20
92223,35,Michael Kober,M,2010,9,20
70826,15,Scott Clasen @scottclasen,O,2010,9,21
70834,14,Scott Clasen @scottclasen,O,2010,9,21
92474,35,David Greco,M,2010,9,21
70825,1,Scott Clasen @scottclasen,O,2010,9,23
92177,115,Viktor Klang (√),M,2010,9,23
92405,10,Martin Krasser,M,2010,9,29
92482,18,Debasish Ghosh,M,2010,9,29
92140,32,Scott Clasen @scottclasen,M,2010,9,30
92450,22,Jonas Bonér,M,2010,9,30
92451,29,Jonas Bonér,M,2010,10,6
92224,3,Michael Kober,M,2010,10,7
92436,10,Irmo Manie,M,2010,10,8
92483,2,Debasish Ghosh,M,2010,10,19
92141,29,Scott Clasen @scottclasen,M,2010,10,28
92178,101,Viktor Klang (√),M,2010,10,29
92406,21,Martin Krasser,M,2010,10,29
70817,3,Roland Kuhn,O,2010,11,6
92407,3,Martin Krasser,M,2010,11,9
92484,9,Debasish Ghosh,M,2010,11,16
92179,59,Viktor Klang (√),M,2010,11,20
92281,26,Peter Vlugter,M,2010,11,22
92437,10,Irmo Manie,M,2010,11,25
92142,32,Scott Clasen @scottclasen,M,2010,11,28
92452,31,Jonas Bonér,M,2010,11,30
92250,1,Jonas Bonér,M,2010,12,1
92143,1,Scott Clasen @scottclasen,M,2010,12,9
92146,4,Derek Williams,M,2010,12,19
92282,3,Peter Vlugter,M,2010,12,21
92453,19,Jonas Bonér,M,2010,12,22
92438,3,Irmo Manie,M,2010,12,24
92180,30,Viktor Klang (√),M,2010,12,30
70003,73,Jonas Bonér,O,2010,12,31
92320,15,Roland Kuhn,M,2010,12,31
92439,9,Irmo Manie,M,2011,1,3
70252,137,Viktor Klang (√),O,2011,1,4
70324,137,Viktor Klang (√),O,2011,1,4
92321,8,Roland Kuhn,M,2011,1,4
92251,1,Jonas Bonér,M,2011,1,5
92454,2,Jonas Bonér,M,2011,1,11
92147,2,Derek Williams,M,2011,1,22
92181,37,Viktor Klang (√),M,2011,1,31
92283,5,Peter Vlugter,M,2011,1,31
92284,3,Peter Vlugter,M,2011,2,15
92148,22,Derek Williams,M,2011,2,25
92485,2,Debasish Ghosh,M,2011,2,25
92182,27,Viktor Klang (√),M,2011,2,27
92408,1,Martin Krasser,M,2011,2,28
92455,3,Jonas Bonér,M,2011,2,28
92322,5,Roland Kuhn,M,2011,3,1
92428,5,Heiko Seeberger,M,2011,3,7
70803,9,Viktor Klang (√),O,2011,3,8
92285,32,Peter Vlugter,M,2011,3,8
92409,7,Martin Krasser,M,2011,3,22
92486,6,Debasish Ghosh,M,2011,3,25
70802,3,Heiko Seeberger,O,2011,3,28
92183,112,Viktor Klang (√),M,2011,3,29
92252,1,Jonas Bonér,M,2011,3,29
92149,8,Derek Williams,M,2011,3,30
92456,47,Jonas Bonér,M,2011,3,31
92150,38,Derek Williams,M,2011,4,11
92429,4,Heiko Seeberger,M,2011,4,11
92461,89,Patrik Nordwall,M,2011,4,11
92487,1,Debasish Ghosh,M,2011,4,12
92144,3,Scott Clasen @scottclasen,M,2011,4,16
92457,52,Jonas Bonér,M,2011,4,20
92286,44,Peter Vlugter,M,2011,4,26
92253,10,Jonas Bonér,M,2011,4,29
92184,65,Viktor Klang (√),M,2011,4,30
92323,15,Roland Kuhn,M,2011,4,30
92151,15,Derek Williams,M,2011,5,3
92488,1,Debasish Ghosh,M,2011,5,4
92462,45,Patrik Nordwall,M,2011,5,15
92185,105,Viktor Klang (√),M,2011,5,20
92145,8,Scott Clasen @scottclasen,M,2011,5,25
92287,41,Peter Vlugter,M,2011,5,25
