UID,UNM,CMT
75250,Viktor Klang (√),3728
205525,Patrik Nordwall,1862
205343,Roland Kuhn,1730
207881,Jonas Bonér,774
126754,Jonas Bonér,745
205526,Björn Antonsson,565
199873,Peter Vlugter,404
205317,Piotr Gabryanczyk,341
205583,Endre Sándor Varga,231
205529,Martin Krasser,201
207964,Patrik Nordwall,192
44561,Derek Williams,156
27308,Scott Clasen @scottclasen,135
205527,Endre Sándor Varga,134
206216,Helena Edelson,126
207987,David Greco,123
207463,Irmo Manie,111
114376,drewhk,92
207977,Peter Veentjer,90
205531,Mathias,87
207993,Debasish Ghosh,84
205309,Philipp Haller,78
205320,Raymond Roestenburg,77
206308,Henrik Engstrom,76
204885,Johannes Rudolph,74
505913,jboner,73
205323,Oliver Schulz,67
103265,Michael Kober,65
76090,Rich Dougherty,65
206268,Heiko Seeberger,55
