PQID,UID,Year,Month,Day,CMT_AMT,CAT,UNM
72555,18654,2009,9,26,3,O,Adam Vandenberg
72555,18654,2009,10,8,1,O,Adam Vandenberg
72555,18654,2009,11,8,1,O,Adam Vandenberg
73772,18654,2009,12,17,1,O,Adam Vandenberg
110835,40586,2010,3,16,4,M,Max Howell
72555,18654,2010,4,2,2,O,Adam Vandenberg
110836,40586,2010,4,6,2,M,Max Howell
72478,18654,2010,4,30,2,O,Adam Vandenberg
72478,32918,2010,4,30,2,O,Peter Aronoff
72478,32918,2010,5,1,3,O,Peter Aronoff
72047,40586,2010,5,9,3,O,Max Howell
72049,40586,2010,5,9,3,O,Max Howell
72271,40586,2010,5,9,3,O,Max Howell
72293,40586,2010,5,9,3,O,Max Howell
72836,40586,2010,5,9,3,O,Max Howell
72844,40586,2010,5,9,3,O,Max Howell
73169,40586,2010,5,9,3,O,Max Howell
110837,40586,2010,5,27,1,M,Max Howell
72478,32918,2010,6,19,8,O,Peter Aronoff
110838,40586,2010,6,23,6,M,Max Howell
73602,174395,2010,7,1,32,O,Mx A. Matienzo
74183,174395,2010,7,1,32,O,Mx A. Matienzo
72478,32918,2010,7,4,7,O,Peter Aronoff
74234,18654,2010,7,10,1,O,Adam Vandenberg
67071,28072,2010,7,23,4,O,Lin Jen-Shin (godfat)
73602,174395,2010,8,1,33,O,Mx A. Matienzo
74183,174395,2010,8,1,33,O,Mx A. Matienzo
72478,32918,2010,8,5,14,O,Peter Aronoff
64043,3091,2010,8,8,1,O,Alexis Hildebrandt
109954,3091,2010,8,17,1,M,Alexis Hildebrandt
72478,32918,2010,9,1,6,O,Peter Aronoff
73602,174395,2010,9,1,52,O,Mx A. Matienzo
74183,174395,2010,9,1,52,O,Mx A. Matienzo
109955,3091,2010,9,6,3,M,Alexis Hildebrandt
72047,40586,2010,9,11,3,O,Max Howell
72049,40586,2010,9,11,3,O,Max Howell
72271,40586,2010,9,11,3,O,Max Howell
72293,40586,2010,9,11,3,O,Max Howell
72836,40586,2010,9,11,3,O,Max Howell
72844,40586,2010,9,11,3,O,Max Howell
73169,40586,2010,9,11,3,O,Max Howell
110839,40586,2010,9,12,2,M,Max Howell
110314,18654,2010,9,14,14,M,Adam Vandenberg
74366,32684,2010,9,20,1,O,Charlie Sharpsteen
111855,174395,2010,9,20,1,M,Mx A. Matienzo
74320,32684,2010,9,25,1,O,Charlie Sharpsteen
72388,32684,2010,9,26,1,O,Charlie Sharpsteen
72424,32684,2010,9,26,1,O,Charlie Sharpsteen
74290,32684,2010,9,26,1,O,Charlie Sharpsteen
73694,32684,2010,9,27,1,O,Charlie Sharpsteen
73894,32684,2010,9,27,1,O,Charlie Sharpsteen
73602,174395,2010,10,1,46,O,Mx A. Matienzo
74183,174395,2010,10,1,19,O,Mx A. Matienzo
74210,174821,2010,10,6,1,O,Justin Clift
74212,174821,2010,10,6,2,O,Justin Clift
74028,32684,2010,10,10,1,O,Charlie Sharpsteen
74157,174821,2010,10,10,2,O,Justin Clift
74159,174821,2010,10,10,1,O,Justin Clift
74171,174821,2010,10,10,3,O,Justin Clift
74174,32684,2010,10,10,1,O,Charlie Sharpsteen
74344,174821,2010,10,10,2,O,Justin Clift
111856,174395,2010,10,10,3,M,Mx A. Matienzo
74344,18654,2010,10,13,1,O,Adam Vandenberg
73985,8646,2010,10,16,11,O,Mike McQuaid
73985,18654,2010,10,16,39,O,Adam Vandenberg
72219,119661,2010,10,17,16,O,Wes Baker
72580,119661,2010,10,17,16,O,Wes Baker
72583,119661,2010,10,17,6,O,Wes Baker
74060,119661,2010,10,17,8,O,Wes Baker
74063,119661,2010,10,17,8,O,Wes Baker
74074,119661,2010,10,17,6,O,Wes Baker
110053,8646,2010,10,17,1,M,Mike McQuaid
73583,119661,2010,10,18,1,O,Wes Baker
74028,119661,2010,10,18,1,O,Wes Baker
110315,18654,2010,10,20,24,M,Adam Vandenberg
73985,174821,2010,10,21,1,O,Justin Clift
74026,174821,2010,10,21,1,O,Justin Clift
74028,174821,2010,10,21,2,O,Justin Clift
111924,174821,2010,10,21,2,M,Justin Clift
72478,32918,2010,10,23,12,O,Peter Aronoff
73977,174821,2010,10,23,1,O,Justin Clift
74028,18654,2010,10,23,5,O,Adam Vandenberg
74028,32918,2010,10,23,1,O,Peter Aronoff
73927,174821,2010,10,27,5,O,Justin Clift
74173,174395,2010,10,28,7,O,Mx A. Matienzo
73908,174821,2010,10,29,1,O,Justin Clift
73380,210956,2010,10,30,3,O,Sean Wilkinson
73573,210956,2010,10,30,3,O,Sean Wilkinson
73596,210956,2010,10,30,3,O,Sean Wilkinson
73694,18654,2010,10,30,3,O,Adam Vandenberg
73892,32684,2010,10,30,1,O,Charlie Sharpsteen
72555,18654,2010,10,31,2,O,Adam Vandenberg
73380,210956,2010,11,1,49,O,Sean Wilkinson
73573,210956,2010,11,1,49,O,Sean Wilkinson
73596,210956,2010,11,1,36,O,Sean Wilkinson
73855,174821,2010,11,1,1,O,Justin Clift
72219,119661,2010,11,2,19,O,Wes Baker
72580,119661,2010,11,2,19,O,Wes Baker
110840,40586,2010,11,3,1,M,Max Howell
71297,32684,2010,11,5,1,O,Charlie Sharpsteen
72049,40586,2010,11,5,5,O,Max Howell
110691,32684,2010,11,5,2,M,Charlie Sharpsteen
73602,18654,2010,11,7,5,O,Adam Vandenberg
73772,18654,2010,11,8,4,O,Adam Vandenberg
72047,40586,2010,11,9,5,O,Max Howell
72271,40586,2010,11,9,5,O,Max Howell
72293,40586,2010,11,9,5,O,Max Howell
72836,40586,2010,11,9,5,O,Max Howell
72844,40586,2010,11,9,5,O,Max Howell
73169,40586,2010,11,9,5,O,Max Howell
110316,18654,2010,11,9,19,M,Adam Vandenberg
72047,18654,2010,11,12,4,O,Adam Vandenberg
72049,18654,2010,11,12,4,O,Adam Vandenberg
72271,18654,2010,11,12,4,O,Adam Vandenberg
72293,18654,2010,11,12,4,O,Adam Vandenberg
72836,18654,2010,11,12,4,O,Adam Vandenberg
72844,18654,2010,11,12,4,O,Adam Vandenberg
73169,18654,2010,11,12,4,O,Adam Vandenberg
73727,32684,2010,11,13,1,O,Charlie Sharpsteen
72555,18654,2010,11,14,1,O,Adam Vandenberg
73583,174395,2010,11,16,1,O,Mx A. Matienzo
73602,174395,2010,11,16,19,O,Mx A. Matienzo
113366,204602,2010,11,16,2,M,Lars
73583,8646,2010,11,17,3,O,Mike McQuaid
73583,3091,2010,11,18,1,O,Alexis Hildebrandt
73512,32684,2010,11,20,1,O,Charlie Sharpsteen
71352,8646,2010,11,24,1,O,Mike McQuaid
71409,8646,2010,11,24,1,O,Mike McQuaid
71987,8646,2010,11,24,1,O,Mike McQuaid
73169,8646,2010,11,24,3,O,Mike McQuaid
110054,8646,2010,11,24,4,M,Mike McQuaid
70703,8646,2010,11,24,1,O,Mike McQuaid
70782,207982,2010,11,30,1,O,Thomas Gustafsson
71125,207982,2010,11,30,1,O,Thomas Gustafsson
73321,207982,2010,11,30,2,O,Thomas Gustafsson
73310,174821,2010,12,1,2,O,Justin Clift
73316,174821,2010,12,1,2,O,Justin Clift
70782,207982,2010,12,1,30,O,Thomas Gustafsson
71125,207982,2010,12,1,30,O,Thomas Gustafsson
72219,119661,2010,12,2,9,O,Wes Baker
72580,119661,2010,12,2,9,O,Wes Baker
73299,174821,2010,12,2,1,O,Justin Clift
