PQID,CMT,UNM,CAT,Year,Month,Day
72555,11,Adam Vandenberg,O,2009,9,26
73772,5,Adam Vandenberg,O,2009,12,17
110835,4,Max Howell,M,2010,3,16
110836,2,Max Howell,M,2010,4,6
72478,58,Adam Vandenberg,O,2010,4,30
110837,1,Max Howell,M,2010,5,27
110838,6,Max Howell,M,2010,6,23
74183,136,Mx A. Matienzo,O,2010,7,1
74234,1,Adam Vandenberg,O,2010,7,10
67071,250,Lin Jen-Shin (godfat),O,2010,7,23
64043,1,Alexis Hildebrandt,O,2010,8,8
109954,1,Alexis Hildebrandt,M,2010,8,17
109955,3,Alexis Hildebrandt,M,2010,9,6
110839,2,Max Howell,M,2010,9,12
110314,14,Adam Vandenberg,M,2010,9,14
74366,1,Charlie Sharpsteen,O,2010,9,20
111855,1,Mx A. Matienzo,M,2010,9,20
74320,1,Charlie Sharpsteen,O,2010,9,25
72388,1,Charlie Sharpsteen,O,2010,9,26
74290,1,Charlie Sharpsteen,O,2010,9,26
73894,1,Charlie Sharpsteen,O,2010,9,27
74210,1,Justin Clift,O,2010,10,6
74212,2,Justin Clift,O,2010,10,6
74157,2,Justin Clift,O,2010,10,10
74159,1,Justin Clift,O,2010,10,10
74171,3,Justin Clift,O,2010,10,10
74174,1,Charlie Sharpsteen,O,2010,10,10
111856,3,Mx A. Matienzo,M,2010,10,10
74344,3,Adam Vandenberg,O,2010,10,13
73985,51,Mike McQuaid,O,2010,10,16
72219,63,Wes Baker,O,2010,10,17
72580,49,Wes Baker,O,2010,10,17
72583,6,Wes Baker,O,2010,10,17
74060,8,Wes Baker,O,2010,10,17
74063,8,Wes Baker,O,2010,10,17
74074,6,Wes Baker,O,2010,10,17
110053,1,Mike McQuaid,M,2010,10,17
110315,24,Adam Vandenberg,M,2010,10,20
74026,1,Justin Clift,O,2010,10,21
111924,2,Justin Clift,M,2010,10,21
73977,1,Justin Clift,O,2010,10,23
74028,10,Adam Vandenberg,O,2010,10,23
73927,5,Justin Clift,O,2010,10,27
74173,7,Mx A. Matienzo,O,2010,10,28
73908,1,Justin Clift,O,2010,10,29
73380,52,Sean Wilkinson,O,2010,10,30
73573,52,Sean Wilkinson,O,2010,10,30
73596,39,Sean Wilkinson,O,2010,10,30
73694,4,Adam Vandenberg,O,2010,10,30
73892,1,Charlie Sharpsteen,O,2010,10,30
73855,1,Justin Clift,O,2010,11,1
110840,1,Max Howell,M,2010,11,3
110691,2,Charlie Sharpsteen,M,2010,11,5
73602,187,Adam Vandenberg,O,2010,11,7
110316,19,Adam Vandenberg,M,2010,11,9
72047,38,Adam Vandenberg,O,2010,11,12
72049,31,Adam Vandenberg,O,2010,11,12
72271,28,Adam Vandenberg,O,2010,11,12
72293,28,Adam Vandenberg,O,2010,11,12
72836,15,Adam Vandenberg,O,2010,11,12
72844,15,Adam Vandenberg,O,2010,11,12
73727,1,Charlie Sharpsteen,O,2010,11,13
113366,2,Lars,M,2010,11,16
73583,6,Alexis Hildebrandt,O,2010,11,18
73512,1,Charlie Sharpsteen,O,2010,11,20
73169,18,Mike McQuaid,O,2010,11,24
110054,4,Mike McQuaid,M,2010,11,24
70782,158,Thomas Gustafsson,O,2010,11,30
71125,146,Thomas Gustafsson,O,2010,11,30
73321,2,Thomas Gustafsson,O,2010,11,30
73310,2,Justin Clift,O,2010,12,1
73316,2,Justin Clift,O,2010,12,1
73299,1,Justin Clift,O,2010,12,2
111925,1,Justin Clift,M,2010,12,2
73170,1,Mike McQuaid,O,2010,12,11
110055,6,Mike McQuaid,M,2010,12,11
73056,7,Alexis Hildebrandt,O,2010,12,18
111857,2,Mx A. Matienzo,M,2010,12,18
71575,92,Alexis Hildebrandt,O,2010,12,19
73047,1,Camillo Lugaresi,O,2010,12,19
73053,1,Alexis Hildebrandt,O,2010,12,19
109956,1,Alexis Hildebrandt,M,2010,12,19
73031,1,Camillo Lugaresi,O,2010,12,20
73032,1,Camillo Lugaresi,O,2010,12,20
73033,1,Camillo Lugaresi,O,2010,12,20
111886,1,Camillo Lugaresi,M,2010,12,20
110317,9,Adam Vandenberg,M,2010,12,21
72958,1,Charlie Sharpsteen,O,2010,12,23
72900,5,Camillo Lugaresi,O,2010,12,28
72872,1,Charlie Sharpsteen,O,2010,12,30
72855,1,Camillo Lugaresi,O,2010,12,31
72861,2,Mike McQuaid,O,2010,12,31
73915,14,Mike McQuaid,O,2010,12,31
72822,1,Charlie Sharpsteen,O,2011,1,1
72824,1,Charlie Sharpsteen,O,2011,1,1
72807,1,Camillo Lugaresi,O,2011,1,3
