UID,UNM,CMT
18654,Adam Vandenberg,4631
32661,Jack Nagel,4609
96516,Brett Koonce,2574
8646,Mike McQuaid,1436
175090,Lars Eggert,1266
176349,nibbles 2bits,1117
9487,Misty De Meo,879
32684,Charlie Sharpsteen,836
40586,Max Howell,836
174395,Mx A. Matienzo,514
106305,Samuel John,467
204602,Lars,466
178885,Jocelyn,355
68126,David Li,343
207982,Thomas Gustafsson,307
184871,Stefan,275
28072,Lin Jen-Shin (godfat),272
23758,Birger J. Nordølum,265
179501,Xiyue Deng,256
200089,janrito,244
3091,Alexis Hildebrandt,207
177781,Vlad Lazar,199
179043,YoungTaek Oh,176
32918,Peter Aronoff,174
174612,Camillo Lugaresi,162
14183,Trevor Wennblom,152
180463,Fedor Bezrukov,152
119661,Wes Baker,145
174821,Justin Clift,143
210956,Sean Wilkinson,143
